url_length,special_char_count,has_https,contains_suspicious_words,directory_count,repeated_char_count,contains_at_symbol,query_param_count,subdomain_count,has_ip,uses_shortener,shannon_entropy,relative_entropy,status
54,9,True,False,4,1,False,0,2,False,False,2.8073549220576046,3.3647469489081696,0
89,14,False,False,3,0,False,0,1,False,False,3.277613436819116,2.005064211512363,0
23,5,False,False,3,0,False,0,1,False,False,3.4565647621309536,2.0868187287122986,1
32,7,False,False,4,1,False,0,2,False,False,3.2709505944546686,2.1954779867665275,1
263,34,True,False,3,1,False,4,2,False,False,3.1898980954642866,2.816519734143404,1
45,9,False,False,4,0,False,0,1,False,False,3.572469458770136,1.4652110080910836,0
37,8,True,False,3,1,False,0,2,False,False,3.824862957617356,1.5360035734516024,0
19,5,False,True,2,1,False,0,2,False,False,2.8553885422075336,3.4881132101376644,0
27,5,False,False,2,0,False,0,1,False,False,3.5841837197791886,1.2818170197326402,0
21,6,True,False,3,1,False,0,2,False,False,2.751629167387823,4.084166087869606,0
51,10,True,False,3,0,False,0,2,False,False,4.350068910616443,2.231403677617472,1
28,6,True,False,3,1,False,0,2,False,False,3.6421498816369033,1.8671047571271746,0
31,6,False,False,3,0,False,0,2,False,False,3.914866303883101,1.7836567051975212,1
48,8,False,False,4,1,False,0,2,False,False,3.1813663288914587,2.336667084006767,0
47,9,False,False,5,1,False,0,2,False,False,3.292770193936991,2.502372422174888,1
145,10,True,False,3,0,False,0,2,False,False,3.7417292966721747,1.2366755194844934,1
34,7,False,False,3,0,False,0,2,False,False,4.008132025833399,1.1970495790067235,1
32,9,False,False,7,0,False,0,1,False,False,2.75,2.8060294696888604,1
64,12,False,False,5,1,False,0,2,False,False,3.326360407952693,2.5019975169190243,0
27,6,True,False,3,1,False,0,2,False,False,3.4193819456463714,2.295175951552079,0
54,9,False,False,4,1,False,0,2,False,False,3.219528282299548,2.4115480309673423,1
47,8,False,False,4,1,False,0,2,False,False,3.6818808028034016,1.9089455092727636,1
102,19,True,False,4,1,False,0,2,False,False,3.6572682296173897,1.568014360652127,0
33,5,False,False,2,0,False,0,2,False,False,3.8731406795131327,1.2766912905004104,1
67,12,False,False,5,1,False,0,2,False,False,3.6635327548042538,1.971849442346123,0
196,40,False,False,8,0,False,7,1,False,False,3.732158891364569,1.0351019440165332,1
40,8,True,False,6,0,False,0,1,False,False,3.689703732199547,1.4420666602169876,1
31,5,True,False,2,0,False,0,2,False,False,3.7409532604048397,1.2825904665780912,1
75,13,True,False,5,0,False,2,2,False,False,2.6235166412180155,2.721095554687148,1
50,9,True,False,4,0,False,0,2,False,False,3.5736606896881855,1.6068712695126155,1
61,11,False,False,6,1,False,0,2,False,False,3.3263604079526936,2.1756232978934062,1
112,18,False,False,5,0,False,0,9,False,False,4.512029781830947,2.1627717501933135,1
113,19,False,False,4,0,False,0,14,False,False,4.308384910760057,2.8671135814089412,1
31,5,False,False,2,0,False,0,2,False,False,3.7720552088742005,1.1356912000588357,1
59,7,False,False,4,0,False,0,2,False,False,3.744203568311812,1.199995808754292,0
49,8,False,False,3,1,False,0,2,False,False,3.5883543471732335,1.7601607632794218,0
65,13,False,False,5,0,True,1,1,False,False,3.32323142879762,1.7305979606869177,1
129,13,True,False,6,0,False,0,4,False,False,4.358005731306161,2.9215158523313334,1
39,8,False,False,3,0,False,0,2,False,False,3.8245334068819106,1.383041105655956,1
43,6,True,False,3,0,False,0,2,False,False,3.7633584292311077,0.9940917991292906,1
41,7,True,False,4,1,False,0,2,False,False,3.25,2.798252897718811,0
60,8,False,False,4,1,False,0,2,False,False,3.8441065448145375,1.373230139101923,0
46,9,False,False,5,1,False,0,3,False,False,2.8895494308620884,3.59185437428155,0
67,12,False,False,4,1,False,0,2,False,False,3.454822399946607,2.2730929597090923,0
33,6,False,False,3,0,False,0,2,False,False,3.3532696895151086,1.572747109096165,0
59,11,False,False,5,0,False,0,2,False,False,3.121928094887362,3.3842582314575362,1
60,11,False,True,3,0,False,0,4,False,False,4.046381112945884,1.5760096682794342,1
26,7,True,False,3,1,False,0,3,False,False,3.248365046750904,2.90499636676236,0
64,11,False,False,6,1,False,0,2,False,False,2.6464393446710153,4.312819093789844,0
39,6,True,False,3,0,False,0,2,False,False,3.9736606896881845,2.696353727250343,1
28,6,True,False,3,1,False,0,2,False,False,3.40582225028569,2.2184569720929304,0
40,7,False,False,3,1,False,0,2,False,False,3.511085408180427,2.283400403087002,0
43,9,False,False,4,0,False,0,3,True,False,2.556656707462823,6.9357731830818,1
62,11,True,True,6,1,False,0,2,False,False,2.663532754804255,4.100797070762626,0
26,6,False,False,3,0,False,0,2,False,False,3.6835423624332306,1.679445084619467,1
35,7,False,False,3,1,False,0,2,False,False,3.3082708345352603,2.3943305466858025,0
34,7,False,False,3,1,False,0,2,False,False,3.536886723742166,2.522578723218503,1
22,6,True,False,3,1,False,0,2,False,False,3.0269868333592873,3.117076185670476,0
25,6,True,False,3,1,False,0,2,False,False,3.202819531114783,2.5625947542377943,0
29,6,True,False,3,1,False,0,2,False,False,3.346439344671016,2.3631654218055163,0
47,8,True,False,4,0,False,0,2,False,False,3.4613201402110088,2.108387038805025,0
23,6,False,False,3,1,False,0,2,False,False,3.0565647621309546,2.5588856322938125,0
37,7,True,False,4,0,False,0,2,False,False,3.7871439606981387,1.6372697784490646,1
115,11,True,True,3,1,False,1,2,False,False,2.9852281360342525,2.7892194365315897,1
51,9,False,False,4,0,False,0,3,False,False,3.8561962982193805,1.5824811912250696,1
40,10,False,False,4,1,False,0,3,True,False,2.8423709931771084,6.713669400921822,1
24,6,False,False,3,1,False,0,2,False,False,3.2806390622295662,3.1448859320121905,0
37,6,True,False,3,0,False,0,2,False,False,4.208966082694624,1.359749954266046,1
121,14,False,False,8,1,False,0,3,False,False,3.8641982977690223,1.2725551418047893,1
46,7,False,False,3,1,False,0,2,False,False,3.576617644908665,2.0553720276200775,0
110,12,True,False,4,0,False,1,2,False,False,3.461320140211008,1.7382979983840194,1
34,8,True,False,3,0,False,0,2,False,False,4.163856189774723,2.316018716061665,1
41,7,True,False,3,0,False,0,2,False,False,3.377278130987436,1.6768092734703406,1
29,6,True,False,3,0,False,0,2,False,False,3.721928094887362,2.2146506438259133,1
136,21,True,True,5,0,False,3,4,False,False,3.9990795706241737,1.162974086259663,1
25,6,True,False,3,0,False,0,2,False,False,3.452819531114783,2.073391986211015,0
27,7,False,False,4,1,False,0,2,False,False,3.202819531114783,2.7707813126504397,1
81,13,True,False,5,1,True,1,2,False,False,3.2998963911678905,2.091249613870681,1
30,5,True,False,2,0,False,0,2,False,False,3.7544418457133446,1.6823436852590345,1
20,6,False,False,3,1,False,0,2,False,False,3.0220552088742,3.6464350885496573,0
44,7,False,False,3,1,False,0,2,False,False,3.9736606896881845,1.4665590408871603,0
44,8,False,False,4,1,False,0,2,False,False,2.873140679513133,3.4226617788420883,0
35,8,True,False,3,0,False,0,1,False,False,3.4885252948977485,1.6142307553863413,1
91,15,True,False,5,0,True,1,2,False,False,3.7216117239699003,1.8593554364120457,1
32,6,False,False,4,0,False,0,1,False,False,3.1493974703476995,1.5305584538514143,1
46,8,False,False,3,0,False,0,2,False,False,3.6143694458867563,2.003748565553317,0
267,22,False,False,6,0,True,0,12,False,False,4.953491973571013,1.3300155490251515,1
25,5,True,False,3,0,False,0,1,False,False,3.0957952550009344,2.4294700943406813,1
147,24,True,False,7,0,True,2,2,False,False,3.6980685120588386,1.0293073653483682,1
37,6,False,False,3,1,False,0,2,False,False,3.708132064658602,1.6879253857596759,0
67,14,False,False,5,0,False,0,1,False,False,2.9219280948873623,2.5895432772395557,0
29,6,True,False,3,0,False,0,2,False,False,3.721928094887362,2.3001220204800745,1
49,7,False,False,3,0,False,0,2,False,False,4.056564762130954,0.9128095596545414,1
46,8,False,False,5,1,False,0,2,False,False,3.788754913993502,1.6392902156773355,1
49,7,False,False,4,1,False,0,2,False,False,3.202819531114783,2.747771269193863,0
25,6,True,False,3,1,False,0,2,False,False,3.202819531114783,2.696253893159678,0
58,10,False,False,3,1,False,0,2,False,False,3.6887218755408675,1.5511347754818763,0
37,8,False,False,3,0,False,0,2,False,False,3.797467632984004,1.4385035382974283,1
25,7,True,False,4,1,False,0,2,False,False,3.180832987205441,2.9583135064777326,0
169,34,True,True,9,1,False,9,2,False,False,2.8423709931771093,3.0781416480850146,1
43,6,False,False,3,0,False,0,2,False,False,3.64716007463276,1.0656812718324198,1
71,8,False,False,3,0,False,1,2,False,False,3.09306920777189,2.478413378969822,1
29,5,False,False,2,0,False,0,2,False,False,3.9139770731827515,1.3666739033097786,0
36,8,False,False,4,1,False,0,2,False,False,3.0565647621309537,3.2380866546615654,1
48,9,False,False,3,0,False,0,2,False,False,3.039148671903071,2.810108065679613,0
52,8,True,False,4,0,False,0,2,False,False,3.5465935642949384,2.58651781380742,1
43,7,False,False,4,1,False,0,2,False,False,3.5414460711655216,2.214236443181954,1
32,7,False,False,4,0,False,0,1,False,False,3.121928094887362,2.5250511820865973,1
25,6,False,False,3,1,False,0,2,False,False,3.454822399946607,2.2456441189520024,0
116,14,False,True,6,0,False,1,1,False,False,3.3927474104487847,2.2839571924502504,1
32,6,False,False,4,0,False,0,1,False,False,3.521640636343319,1.6086980367957153,1
21,6,False,False,3,1,False,0,2,False,False,3.0269868333592873,3.060986974016021,0
22,6,False,False,4,0,False,0,1,False,False,3.095795255000934,3.3579339479002166,1
46,8,False,False,4,0,False,0,1,False,False,3.2639334294856344,1.567872489933477,1
213,19,False,True,5,0,False,3,2,False,False,3.6143694458867563,1.7741097911993573,1
83,19,True,False,6,0,False,0,2,False,False,3.039148671903071,2.8040726895251815,0
28,5,True,False,3,0,False,0,1,False,False,3.536886723742167,1.519550040396247,0
20,5,False,True,2,0,False,0,2,False,False,2.8731406795131336,2.9643769171948904,1
31,6,True,False,3,1,False,0,2,False,False,3.442862165155465,1.986221031955583,0
72,13,False,False,7,0,False,0,1,False,False,3.2359263506290334,2.2672572703564575,1
31,5,False,False,2,0,False,0,2,False,False,3.7201755214643453,1.1725494857179848,1
157,9,True,False,3,0,False,0,2,False,False,3.27280432733462,1.811326155703317,1
31,6,False,False,2,0,False,0,2,False,False,3.68456081428629,1.627580215978383,0
55,9,False,False,4,0,False,0,2,False,False,3.3263604079526936,1.7011487659399258,1
61,10,True,False,5,1,False,0,2,False,False,3.452819531114783,2.5581983499292025,0
52,11,True,False,4,0,False,0,2,False,False,3.452819531114783,2.0755549802283273,0
27,6,False,False,3,1,False,0,2,False,False,3.787143960698138,1.928635080030519,0
73,13,False,False,8,1,False,0,2,False,False,3.6841837197791887,1.736726077537603,1
90,16,True,True,6,0,False,1,2,False,False,3.6753108689123644,1.3320297482373302,1
